Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-12-30,31.74,31.02,32.1,31.02,4.52,-2.27
2022-12-29,30.7,31.74,32,30.5,5.63,3.39
2022-12-28,31.02,30.7,31.44,30.24,9.88,-0.97
2022-12-27,31.18,31,31.96,30.8,5.96,-0.64
2022-12-23,31.44,31.2,31.62,30.8,7.38,-1.14
2022-12-22,32.3,31.56,32.3,31.5,3.53,-1.62
2022-12-21,31.5,32.08,32.12,31.3,4.31,1.45
2022-12-20,31.8,31.62,32.16,31.34,4.16,-0.57
2022-12-19,30.26,31.8,31.86,30.26,9.76,5.02
2022-12-16,30.6,30.28,31,30.22,8.3,-0.85
2022-12-15,30,30.54,30.58,30,5.36,1.66
2022-12-14,29.22,30.04,30.12,29.04,6.09,2.81
2022-12-13,29,29.22,29.46,28.98,3.09,0.41
2022-12-12,29.22,29.1,29.5,28.94,1.88,-0.41
2022-12-09,28.66,29.22,29.22,28.66,1.61,1.81
2022-12-08,29.18,28.7,29.4,28.32,5.66,-1.64
2022-12-07,29.56,29.18,29.58,29.06,2.36,-1.22
2022-12-06,29.26,29.54,29.7,29,4.84,0.82
2022-12-05,29.92,29.3,29.94,29.26,2.84,-2.01
2022-12-02,30,29.9,30.02,29.36,3.03,-0.6
2022-12-01,29.68,30.08,30.08,29.66,6.69,2.04
2022-11-30,29.6,29.48,29.82,29,5.5,-0.61
2022-11-29,30,29.66,30.14,29.2,3.36,-1.59
2022-11-28,29.34,30.14,30.28,28.96,6.95,3.08
2022-11-25,29.24,29.24,29.24,29.24,0,0
2022-11-24,30,29.24,30.14,28.8,7.99,-2.21
2022-11-23,29.86,29.9,30.3,29.84,4.97,0.34
2022-11-22,30.3,29.8,30.3,29.72,4.61,-1.19
2022-11-21,30.88,30.16,30.88,29.66,5.7,-0.59
2022-11-18,29.6,30.34,30.64,29.18,9.5,2.5
2022-11-17,29.04,29.6,29.72,29,7.29,1.72
2022-11-16,28.6,29.1,29.78,28.6,11.74,-0.48
2022-11-15,28.32,29.24,29.5,28.14,11.13,3.61
2022-11-14,29.4,28.22,29.72,28.16,11.61,-3.95
2022-11-10,28.96,29.38,29.48,28.54,7.52,1.38
2022-11-09,28.16,28.98,29.16,28.04,13.85,2.48
2022-11-08,28.2,28.28,28.8,27.86,7.31,0.28
2022-11-07,27.84,28.2,28.62,27.6,11.04,1.73
2022-11-04,27.62,27.72,27.98,27.26,6.58,0.8
2022-11-03,26.94,27.5,27.78,26.7,4.85,1.48
2022-11-02,27.22,27.1,27.8,26.5,10.48,-0.66
2022-10-31,25.74,27.28,27.34,25.6,12.42,6.07
2022-10-28,25.7,25.72,26.06,25.46,6.57,0.08
2022-10-27,24.66,25.7,25.72,24.58,21.23,7.08
2022-10-26,24.36,24,24.58,24,6.76,-1.07
2022-10-25,24.28,24.26,24.66,24,4.26,0.08
2022-10-24,23.24,24.24,24.54,23.24,11.18,4.66
2022-10-21,23.68,23.16,23.7,22.8,5.35,-2.2
2022-10-20,22.98,23.68,23.74,22.8,4.17,2.96
2022-10-19,23,23,23.38,22.74,3.02,0.17
2022-10-18,22.3,22.96,23.08,22.2,7.59,3.89
2022-10-17,21.8,22.1,22.28,21.66,2.75,1.38
2022-10-14,21.54,21.8,21.94,21.5,3.11,1.58
2022-10-13,21.1,21.46,21.46,21.02,3.28,2.68
2022-10-12,21.2,20.9,21.2,20.86,2.18,-1.42
2022-10-11,20.98,21.2,21.2,20.5,2.8,1.05
2022-10-10,21.2,20.98,21.42,20.98,1.54,-1.22
2022-10-07,21.52,21.24,21.64,21.16,2.02,-2.03
2022-10-06,20.8,21.68,21.76,20.8,3.55,4.84
2022-10-05,21,20.68,21.08,20.58,1.52,-1.52
2022-10-04,20.34,21,21.1,20.34,2.55,3.86
2022-10-03,20,20.22,20.34,19.9,2.91,0.1
2022-09-30,20,20.2,20.3,19.56,5.48,1
